Subject Id	Subject Flag	Agreed Hours
ACMEQU217	C	30
ACMEQU218	C	80
ACMEQU219	C	60
ACMEQU220	C	50
ACMEQU221	C	30
ACMEQU301	C	80
ACMEQU302	C	50
ACMEQU303	C	100
ACMEQU304	C	20
ACMEQU305	C	60
ACMEQU306	C	70
ACMEQU307	C	70
ACMEQU308	C	45
ACMEQU309	C	50
ACMEQU310	C	50
ACMEQU311	C	70
ACMEQU312	C	70
ACMEQU313	C	50
ACMEQU314	C	60
ACMEQU401	C	110
ACMEQU401A	C	110
ACMEQU402	C	60
ACMEQU402A	C	60
ACMEQU403	C	120
ACMEQU403A	C	120
ACMEQU404	C	60
ACMEQU404A	C	60
ACMEQU405	C	80
ACMEQU405A	C	80
ACMEQU406	C	60
ACMEQU407	C	100
ACMEQU408	C	160
ACMEQU409	C	80
ACMEQU410	C	50
ACMEQU411	C	50
ACMEQU412	C	60
ACMEQU413	C	60
ACMEQU414	C	90
ACMEQU415	C	120
ACMEQU416	C	80
ACMEQU417	C	60
ACMEQU418	C	60
ACMEQU419	C	60
ACMEQU420	C	80
ACMEQU421	C	180
ACMEQU422	C	80
ACMEQU423	C	60
ACMEQU424	C	50
ACMEQU425	C	60
ACMEQU501	C	80
ACMEQU502	C	80
ACMEQU503	C	30
ACMEQU504	C	100
ACMEQU505	C	50
ACMEQU506	C	90
ACMEQU507	C	60
ACMEQU508	C	110
ACMEQU509	C	120
ACMEQU510	C	120
ACMEQU511	C	200
ACMEQU512	C	130
ACMEXH301	C	60
ACMEXH302	C	40
ACMEXH303	C	50
ACMEXH304	C	40
ACMEXH305	C	40
ACMEXH306	C	40
ACMEXH307	C	30
ACMEXH308	C	20
ACMEXH309	C	50
ACMEXH401	C	80
ACMEXH402	C	70
ACMEXH403	C	50
ACMEXH404	C	100
ACMFAR301	C	20
ACMFAR301A	C	20
ACMFAR302	C	20
ACMFAR302A	C	20
ACMFAR303	C	20
ACMFAR303A	C	20
ACMFAR304	C	50
ACMFAR304A	C	50
ACMFAR305	C	20
ACMFAR305A	C	20
ACMFAR306	C	60
ACMFAR306A	C	60
ACMFAR307	C	80
ACMFAR307A	C	80
ACMFAR308	C	80
ACMFAR308A	C	80
ACMFAR309	C	100
ACMFAR309A	C	100
ACMFAR310	C	100
ACMFAR310A	C	100
ACMFAR311	C	100
ACMFAR311A	C	100
ACMFAR312	C	100
ACMFAR312A	C	100
ACMFAR313	C	80
ACMFAR314	C	60
ACMFAR315	C	20
ACMFAR316	C	20
ACMFAR317	C	40
ACMFAR318	C	60
ACMFAR319	C	20
ACMFAR401	C	120
ACMFAR402	C	100
ACMFAR403	C	100
ACMFAR404	C	100
ACMFAR405	C	20
ACMFAR406	C	20
ACMFAR407	C	50
ACMFAR408	C	80
ACMFAR409	C	100
ACMGAS101	C	10
ACMGAS101A	C	10
ACMGAS102	C	40
ACMGAS102A	C	40
ACMGAS103	C	40
ACMGAS103A	C	40
ACMGAS201	C	30
ACMGAS201A	C	30
ACMGAS202	C	20
ACMGAS202A	C	20
ACMGAS203	C	30
ACMGAS203A	C	30
ACMGAS204	C	40
ACMGAS204A	C	40
ACMGAS205	C	40
ACMGAS205A	C	40
ACMGAS206	C	30
ACMGAS206A	C	20
ACMGAS207	C	30
ACMGAS207A	C	30
ACMGAS208	C	40
ACMGAS208A	C	40
ACMGAS209	C	40
ACMGAS209A	C	40
ACMGAS210	C	30
ACMGAS210A	C	30
ACMGAS301	C	50
ACMGAS301A	C	50
ACMGAS302	C	40
ACMGAS302A	C	40
ACMGAS303	C	60
ACMGAS303A	C	60
ACMGAS304	C	40
ACMGAS304A	C	40
ACMGAS305	C	30
ACMGAS305A	C	30
ACMGAS306	C	40
ACMGAS306A	C	40
ACMGAS307	C	100
ACMGAS308	C	30
ACMGEN101	C	10
ACMGEN102	C	40
ACMGEN103	C	40
ACMGEN201	C	30
ACMGEN202	C	30
ACMGEN203	C	40
ACMGEN204	C	40
ACMGEN205	C	40
ACMGEN301	C	40
ACMGEN302	C	40
ACMGEN303	C	60
ACMGEN304	C	40
ACMGEN305	C	50
ACMGEN306	C	40
ACMGEN307	C	30
ACMGEN308	C	40
ACMGEN309	C	40
ACMGEN310	C	30
ACMGEN311	C	50
ACMGEN312	C	60
ACMGEN313	C	40
ACMGEN314	C	100
ACMGEN315	C	30
ACMGEN401	C	40
ACMGEN402	C	70
ACMGEN403	C	50
ACMGEN404	C	80
ACMGEN405	C	80
ACMGRM201	C	30
ACMGRM301	C	50
ACMGRM301A	C	50
ACMGRM302	C	40
ACMGRM302A	C	40
ACMGRM303	C	60
ACMGRM304	C	90
ACMGRM305	C	70
ACMGRM401	C	100
ACMGRM401A	C	40
ACMGRM402	C	50
ACMGRM402A	C	40
ACMGRM403	C	50
ACMGRM403A	C	40
ACMGRM404	C	30
ACMGRM404A	C	30
ACMGRM405	C	50
ACMGRM405A	C	50
ACMGRM406	C	100
ACMHBR201	C	40
ACMHBR202	C	80
ACMHBR203	C	40
ACMHBR301	C	45
ACMHBR302	C	50
ACMHBR303	C	70
ACMHBR304	C	70
ACMHBR305	C	75
ACMHBR306	C	40
ACMHBR307	C	60
ACMHBR308	C	60
ACMHBR309	C	80
ACMHBR310	C	50
ACMHBR311	C	80
ACMHBR312	C	100
ACMHBR313	C	50
ACMHBR401	C	80
ACMHBR402	C	100
ACMHBR403	C	60
ACMHBR404	C	80
ACMHBR405	C	80
ACMHBR406	C	100
ACMHBR407	C	70
ACMHBR501	C	50
ACMHBR502	C	100
ACMHBR503	C	80
ACMHBR504	C	100
ACMINF101	C	40
ACMINF201	C	60
ACMINF301	C	60
ACMINF301A	C	60
ACMINF302	C	60
ACMINF303	C	60
ACMINF304	C	60
ACMINF401	C	80
ACMINF501	C	100
ACMINF502	C	120
ACMMIC401	C	20
ACMMIC401A	C	20
ACMOHS201A	C	40
ACMOHS301A	C	50
ACMOHS401A	C	80
ACMOHS501A	C	80
ACMPHR201	C	100
ACMPHR301	C	40
ACMPHR302	C	30
ACMPHR303	C	40
ACMPHR304	C	50
ACMPHR401	C	60
ACMPHR402	C	90
ACMPHR403	C	50
ACMPHR404	C	30
ACMPHR405	C	80
ACMPHR406	C	80
ACMPHR407	C	80
ACMPHR408	C	60
ACMPHR409	C	60
ACMPHR501	C	80
ACMPHR502	C	50
ACMPHR503	C	50
ACMPHR504	C	60
ACMPHR505	C	50
ACMPHR506	C	90
ACMSPE301	C	40
ACMSPE301A	C	40
ACMSPE302	C	40
ACMSPE302A	C	40
ACMSPE303	C	40
ACMSPE303A	C	40
ACMSPE304	C	40
ACMSPE304A	C	40
ACMSPE305	C	40
ACMSPE305A	C	40
ACMSPE306	C	40
ACMSPE306A	C	40
ACMSPE307	C	40
ACMSPE307A	C	40
ACMSPE308	C	40
ACMSPE308A	C	40
ACMSPE309	C	40
ACMSPE309A	C	40
ACMSPE310	C	40
ACMSPE310A	C	40
ACMSPE311	C	40
ACMSPE311A	C	40
ACMSPE312	C	40
ACMSPE312A	C	40
ACMSPE313	C	40
ACMSPE314	C	40
ACMSPE315	C	40
ACMSPE316	C	40
ACMSPE317	C	40
ACMSPE318	C	40
ACMSPE319	C	40
ACMSPE320	C	40
ACMSPE321	C	40
ACMSPE322	C	40
ACMSUS201	C	20
ACMSUS201A	C	20
ACMSUS301A	C	40
ACMSUS401	C	40
ACMVET201	C	40
ACMVET201A	C	30
ACMVET202	C	40
ACMVET202A	C	40
ACMVET203	C	40
ACMVET203A	C	40
ACMVET401	C	70
ACMVET401A	C	40
ACMVET402	C	90
ACMVET402A	C	80
ACMVET403	C	70
ACMVET403A	C	70
ACMVET404	C	40
ACMVET404A	C	30
ACMVET405	C	120
ACMVET405A	C	80
ACMVET406	C	80
ACMVET406A	C	80
ACMVET407	C	70
ACMVET407A	C	40
ACMVET408	C	90
ACMVET408A	C	40
ACMVET409	C	90
ACMVET409A	C	120
ACMVET410	C	40
ACMVET410A	C	40
ACMVET411	C	50
ACMVET411A	C	50
ACMVET412	C	50
ACMVET412A	C	50
ACMVET413	C	80
ACMVET413A	C	40
ACMVET414	C	40
ACMVET414A	C	40
ACMVET415	C	60
ACMVET415A	C	60
ACMVET416	C	60
ACMVET501	C	180
ACMVET501A	C	180
ACMVET502	C	60
ACMVET502A	C	60
ACMVET503	C	30
ACMVET503A	C	30
ACMVET504	C	120
ACMVET504A	C	120
ACMVET505	C	20
ACMVET505A	C	20
ACMVET506	C	100
ACMVET506A	C	100
ACMVET507	C	100
ACMVET507A	C	100
ACMVET508	C	70
ACMVET508A	C	60
ACMVET509	C	150
ACMVET509A	C	150
ACMVET510	C	180
ACMVET510A	C	180
ACMVET511	C	100
ACMVET511A	C	90
ACMVET512	C	50
ACMWHS201	C	40
ACMWHS201A	C	40
ACMWHS301	C	50
ACMWHS301A	C	50
ACMWHS401	C	80
ACMWHS401A	C	80
ACMWHS501	C	80
ACMWHS501A	C	80
AGFCMN101A	C	35
AGFCMN102A	C	35
AGFCMN103A	C	35
AGFCMN201A	C	0
AGFCMN202A	C	0
AHCAGB301	C	60
AHCAGB301A	C	60
AHCAGB302	C	60
AHCAGB401	C	80
AHCAGB401A	C	80
AHCAGB402	C	100
AHCAGB402A	C	100
AHCAGB403	C	60
AHCAGB404	C	80
AHCAGB405	C	100
AHCAGB406	C	60
AHCAGB501	C	120
AHCAGB501A	C	120
AHCAGB502	C	80
AHCAGB502A	C	80
AHCAGB503	C	120
AHCAGB503A	C	120
AHCAGB504	C	180
AHCAGB504A	C	180
AHCAGB505	C	120
AHCAGB505A	C	120
AHCAGB506	C	100
AHCAGB507	C	100
AHCAGB508	C	60
AHCAGB509	C	60
AHCAGB510	C	100
AHCAGB511	C	80
AHCAGB512	C	80
AHCAGB513	C	120
AHCAGB514	C	100
AHCAGB515	C	60
AHCAGB516	C	60
AHCAGB517	C	80
AHCAGB518	C	120
AHCAGB519	C	120
AHCAGB520	C	180
AHCAGB521	C	100
AHCAGB522	C	100
AHCAGB523	C	100
AHCAGB601	C	200
AHCAGB601A	C	200
AHCAGB602	C	200
AHCAGB602A	C	200
AHCAGB603	C	260
AHCAGB603A	C	260
AHCAGB604	C	200
AHCAGB604A	C	200
AHCAGB605	C	240
AHCAGB605A	C	240
AHCAGB606	C	200
AHCAGB606A	C	200
AHCAGB607	C	200
AHCAGB608	C	240
AHCAGB609	C	200
AHCAGB610	C	260
AHCAGB611	C	200
AHCAGB612	C	200
AHCAIS201	C	20
AHCAIS201A	C	20
AHCAIS202	C	20
AHCAIS301	C	30
AHCAIS301A	C	30
AHCAIS302	C	40
AHCAIS302A	C	40
AHCAIS303	C	80
AHCAIS303A	C	80
AHCAIS304	C	80
AHCAIS401	C	80
AHCAIS401A	C	80
AHCAIS402	C	80
AHCARB201	C	30
AHCARB201A	C	30
AHCARB202A	C	40
AHCARB203A	C	40
AHCARB204A	C	40
AHCARB205A	C	40
AHCARB206	C	10
AHCARB206A	C	10
AHCARB207	C	60
AHCARB207A	C	60
AHCARB208	C	40
AHCARB209	C	60
AHCARB210	C	60
AHCARB211	C	30
AHCARB212	C	10
AHCARB213	C	60
AHCARB214	C	40
AHCARB301	C	40
AHCARB301A	C	40
AHCARB302	C	80
AHCARB302A	C	80
AHCARB303	C	80
AHCARB303A	C	80
AHCARB304A	C	80
AHCARB305	C	120
AHCARB305A	C	120
AHCARB306	C	60
AHCARB306A	C	60
AHCARB307	C	120
AHCARB307A	C	120
AHCARB308	C	60
AHCARB308A	C	60
AHCARB309	C	30
AHCARB309A	C	30
AHCARB310	C	90
AHCARB310A	C	90
AHCARB311	C	30
AHCARB312	C	40
AHCARB313	C	90
AHCARB314	C	40
AHCARB315	C	80
AHCARB316	C	80
AHCARB317	C	130
AHCARB318	C	60
AHCARB319	C	120
AHCARB320	C	60
AHCARB321	C	30
AHCARB322	C	40
AHCARB323	C	90
AHCARB324	C	100
AHCARB325	C	80
AHCARB401	C	120
AHCARB402	C	100
AHCARB403	C	100
AHCARB404	C	80
AHCARB405	C	80
AHCARB406	C	120
AHCARB407	C	100
AHCARB408	C	100
AHCARB409	C	80
AHCARB501A	C	120
AHCARB502	C	120
AHCARB502A	C	120
AHCARB503A	C	120
AHCARB504	C	90
AHCARB504A	C	90
AHCARB505	C	90
AHCARB505A	C	90
AHCARB506	C	90
AHCARB507	C	60
AHCARB508	C	120
AHCARB509	C	90
AHCARB510	C	100
AHCARB511	C	90
AHCARB512	C	60
AHCARB513	C	120
AHCARB514	C	120
AHCARB601	C	120
AHCARB602	C	120
AHCARB603	C	100
AHCARB604	C	120
AHCARB605	C	80
AHCARB606	C	100
AHCARB607	C	120
AHCARB608	C	100
AHCARB609	C	120
AHCARB610	C	80
AHCARB611	C	100
AHCARB612	C	120
AHCARB701	C	80
AHCARB702	C	60
AHCARB703	C	80
AHCARB704	C	100
AHCARB801	C	60
AHCARB802	C	120
AHCARB803	C	120
AHCARB804	C	80
AHCARB805	C	60
AHCARB806	C	80
AHCARB807	C	100
AHCARB808	C	60
AHCARB809	C	120
AHCARB810	C	120
AHCASW301	C	70
AHCASW301A	C	70
AHCASW302	C	50
AHCASW302A	C	50
AHCASW303	C	60
AHCASW303A	C	60
AHCASW304	C	50
AHCASW304A	C	50
AHCASW305	C	30
AHCASW305A	C	30
AHCASW306	C	40
AHCASW306A	C	40
AHCASW307	C	40
AHCASW307A	C	40
AHCASW308	C	30
AHCASW308A	C	30
AHCASW309	C	30
AHCASW309A	C	30
AHCASW310	C	30
AHCASW310A	C	30
AHCASW311A	C	40
AHCASW312	C	40
AHCASW312A	C	40
AHCASW313	C	40
AHCASW501	C	60
AHCASW501A	C	60
AHCBAC101	C	15
AHCBAC101A	C	15
AHCBAC102	C	15
AHCBAC201	C	60
AHCBAC201A	C	60
AHCBAC202	C	40
AHCBAC202A	C	40
AHCBAC203	C	60
AHCBAC203A	C	60
AHCBAC204	C	40
AHCBAC204A	C	40
AHCBAC205	C	60
AHCBAC205A	C	40
AHCBAC206	C	40
AHCBAC207	C	60
